strain gisaid_id
England/NORW-13D5077/2021 EPI_ISL_2706712
England/NORW-13DA959/2021 EPI_ISL_2519932
England/NORW-13E769E/2021 EPI_ISL_2902549
England/NORW-13F0911/2021 EPI_ISL_3177919
England/NORW-13F7FFA/2021 EPI_ISL_3289432
England/NORW-221E67/2020 EPI_ISL_764205
England/NORW-225E18/2021 EPI_ISL_921854
England/NORW-2279BB/2021 EPI_ISL_921964
England/NORW-227C94/2021 EPI_ISL_998820
England/NORW-22A824/2021 EPI_ISL_998873
England/NORW-301907E/2021 EPI_ISL_3572072
England/NORW-3023E50/2021 EPI_ISL_4116193
England/NORW-302CD24/2021 EPI_ISL_4307080
England/NORW-302E164/2021 EPI_ISL_4307198
England/NORW-3031974/2021 EPI_ISL_4307489
England/NORW-30428F1/2021 EPI_ISL_4529686
England/NORW-30460C7/2021 EPI_ISL_4771361
England/NORW-3048791/2021 EPI_ISL_4771658
England/NORW-304AC6F/2021 EPI_ISL_4771820
England/NORW-304D5B5/2021 EPI_ISL_4772187
England/NORW-305B547/2021 EPI_ISL_5040478
England/NORW-306D5ED/2021 EPI_ISL_5471116
England/NORW-306E730/2021 EPI_ISL_5471598
England/NORW-306F415/2021 EPI_ISL_5471916
England/NORW-3070EA6/2021 EPI_ISL_5472556
England/NORW-3074A79/2021 EPI_ISL_5473557
England/NORW-307D7EA/2021 EPI_ISL_5806777
England/NORW-3091BED/2021 EPI_ISL_5807670
England/NORW-3097E43/2021 EPI_ISL_5808810
England/NORW-3098AB5/2021 EPI_ISL_6019324
England/NORW-30A2DF6/2021 EPI_ISL_6273195
England/NORW-30A2FBC/2021 EPI_ISL_6273198
England/NORW-30A4D2D/2021 EPI_ISL_6273232
England/NORW-30B29A3/2021 EPI_ISL_6274044
England/NORW-30B3A05/2021 EPI_ISL_6274117
England/NORW-30B4FC5/2021 EPI_ISL_6274255
England/NORW-30BA246/2021 EPI_ISL_6274576
England/NORW-30BA329/2021 EPI_ISL_6274582
England/NORW-30BC297/2021 EPI_ISL_6274686
England/NORW-30BD315/2021 EPI_ISL_6274852
England/NORW-30BDF0B/2021 EPI_ISL_6274921
England/NORW-30C0547/2021 EPI_ISL_6275133
England/NORW-30C0C7A/2021 EPI_ISL_6975768
England/NORW-30C4A74/2021 EPI_ISL_6976547
England/NORW-30C67AC/2021 EPI_ISL_6976758
England/NORW-30C6FB2/2021 EPI_ISL_6976821
England/NORW-30C74BB/2021 EPI_ISL_6976849
England/NORW-30CA0F0/2021 EPI_ISL_6977104
England/NORW-30CD26B/2021 EPI_ISL_6977535
England/NORW-30E0E4C/2021 EPI_ISL_6977990
England/NORW-30E14C3/2021 EPI_ISL_6978038
England/NORW-30E4133/2021 EPI_ISL_7562750
England/NORW-30E4315/2021 EPI_ISL_7165142
England/NORW-30E45A0/2021 EPI_ISL_7562760
England/NORW-30E5610/2021 EPI_ISL_7038251
England/NORW-30E705A/2021 EPI_ISL_7165216
England/NORW-30E9DAD/2021 EPI_ISL_7562903
England/NORW-30EAB02/2021 EPI_ISL_7562935
England/NORW-30EB2DE/2021 EPI_ISL_7039703
England/NORW-30F2199/2021 EPI_ISL_7040693
England/NORW-30F47C9/2021 EPI_ISL_7165680
England/NORW-30F4AD4/2021 EPI_ISL_7042580
England/NORW-30F603F/2021 EPI_ISL_7165774
England/NORW-30F60F6/2021 EPI_ISL_7165779
England/NORW-30FB216/2021 EPI_ISL_7463092
England/NORW-30FDC18/2021 EPI_ISL_8044431
England/NORW-31014B1/2021 EPI_ISL_8044620
England/NORW-3101B01/2021 EPI_ISL_8044771
England/NORW-31027BC/2021 EPI_ISL_8238908
England/NORW-3102B1D/2021 EPI_ISL_8239058
England/NORW-3104030/2021 EPI_ISL_8239624
England/NORW-31059EE/2021 EPI_ISL_8240429
England/NORW-31073E0/2021 EPI_ISL_8777643
England/NORW-3109C63/2021 EPI_ISL_8778080
England/NORW-3109CD4/2021 EPI_ISL_8778092
England/NORW-310B6D6/2021 EPI_ISL_8778615
England/NORW-310BD6E/2021 EPI_ISL_8778720
England/NORW-310C6F0/2021 EPI_ISL_8778953
England/NORW-310C81B/2021 EPI_ISL_8778982
England/NORW-310E370/2021 EPI_ISL_11154996
England/NORW-310F5ED/2021 EPI_ISL_11154998
England/NORW-31201A6/2021 EPI_ISL_8779746
England/NORW-312145C/2021 EPI_ISL_8780614
England/NORW-3123D7B/2021 EPI_ISL_8781161
England/NORW-3124266/2021 EPI_ISL_8781203
England/NORW-3124365/2021 EPI_ISL_8781230
England/NORW-31257A6/2021 EPI_ISL_8989664
England/NORW-3126CD9/2021 EPI_ISL_8989779
England/NORW-3126E2E/2021 EPI_ISL_8989789
England/NORW-3127B90/2021 EPI_ISL_8989859
England/NORW-3127E56/2021 EPI_ISL_8989874
England/NORW-31281ED/2021 EPI_ISL_8989886
England/NORW-312826D/2021 EPI_ISL_8989889
England/NORW-31296AE/2022 EPI_ISL_8989974
England/NORW-3129A2B/2021 EPI_ISL_8989988
England/NORW-3129CA8/2022 EPI_ISL_8990005
England/NORW-312A73A/2022 EPI_ISL_8990073
England/NORW-312BDCF/2022 EPI_ISL_8990192
England/NORW-312C48E/2022 EPI_ISL_8990234
England/NORW-312C9ED/2021 EPI_ISL_8990268
England/NORW-312CF5A/2022 EPI_ISL_8990291
England/NORW-312EB3E/2021 EPI_ISL_8990445
England/NORW-312F2A6/2021 EPI_ISL_8990473
