taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
England/NORW-319C4A3/2022,BA.1.15.1,0.0,0.98,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.04,
England/NORW-319AB4D/2022,BA.1.15,0.78,0.97,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.04,Alt assignments: BA.1;BA.1.15
England/NORW-319D26C/2022,BA.1.1.1,0.8,0.86,Omicron (BA.1-like),0.78,0.0,scorpio call: Alt alleles 46; Ref alleles 0; Amb alleles 11; Oth alleles 2,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.14,Alt assignments: BA.1.1;BA.1.1.1
England/NORW-319A4A7/2022,BA.1.15,0.78,0.98,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.04,Alt assignments: BA.1;BA.1.15
England/NORW-319AB05/2022,BA.1.17.2,0.17,0.58,Omicron (BA.1-like),0.73,0.0,scorpio call: Alt alleles 43; Ref alleles 0; Amb alleles 12; Oth alleles 4,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.32,Alt assignments: BA.1.17;BA.1.17.2
England/NORW-319A1AA/2022,BA.1.17.2,0.0,0.98,Omicron (BA.1-like),0.85,0.0,scorpio call: Alt alleles 50; Ref alleles 0; Amb alleles 5; Oth alleles 4,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.04,
England/NORW-319A31B/2022,B.1.617.2,0.68,0.25,Delta (B.1.617.2-like),0.69,0.0,scorpio call: Alt alleles 9; Ref alleles 0; Amb alleles 4; Oth alleles 0,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.46,Alt assignments: A;AY.112;AY.33;AY.4; scorpio replaced lineage inference AY.4
England/NORW-319A270/2022,BA.1.16,0.36,0.97,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.04,Alt assignments: BA.1;BA.1.16
England/NORW-319C16F/2022,BA.1.1,0.04,0.99,Omicron (BA.1-like),0.92,0.0,scorpio call: Alt alleles 54; Ref alleles 0; Amb alleles 2; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.03,
England/NORW-319D74B/2022,AY.4.2,0.5,0.97,Delta (AY.4.2-like),0.97,0.0,scorpio call: Alt alleles 34; Ref alleles 0; Amb alleles 1; Oth alleles 0,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.03,
England/NORW-319AB21/2022,BA.1.16,0.36,0.98,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.04,Alt assignments: BA.1;BA.1.16
England/NORW-319BD57/2022,BA.1.15.1,0.04,0.94,Omicron (BA.1-like),0.83,0.0,scorpio call: Alt alleles 49; Ref alleles 0; Amb alleles 7; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.07,Alt assignments: BA.1.15;BA.1.15.1
England/NORW-319A923/2022,BA.1.1,0.29,0.98,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.03,
England/NORW-319AC3E/2022,BA.1.17.2,0.0,0.98,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.04,
England/NORW-319B1E0/2022,BA.1.1.1,0.47,0.37,Probable Omicron (BA.1-like),0.64,0.0,scorpio call: Alt alleles 38; Ref alleles 0; Amb alleles 18; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.42,Alt assignments: BA.1.1;BA.1.1.1
England/NORW-319A6FB/2022,BA.1.17.2,0.0,0.98,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.04,
England/NORW-319BD9E/2022,AY.4,0.08,0.99,Delta (AY.4-like),0.94,0.0,scorpio call: Alt alleles 30; Ref alleles 0; Amb alleles 1; Oth alleles 1,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.02,
England/NORW-319D63E/2022,BA.1.1.15,0.52,0.88,Omicron (BA.1-like),0.83,0.0,scorpio call: Alt alleles 49; Ref alleles 0; Amb alleles 7; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.12,Alt assignments: BA.1.1;BA.1.1.12;BA.1.1.15
England/NORW-319AEBB/2022,BA.1.17.2,0.0,0.97,Omicron (BA.1-like),0.83,0.0,scorpio call: Alt alleles 49; Ref alleles 0; Amb alleles 7; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.05,
England/NORW-319BC9F/2022,BA.1.15,0.78,0.98,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.04,Alt assignments: BA.1;BA.1.15
England/NORW-319B0FF/2022,BA.1.17.2,0.08,0.85,Omicron (BA.1-like),0.76,0.0,scorpio call: Alt alleles 45; Ref alleles 0; Amb alleles 11; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.14,Alt assignments: BA.1.17;BA.1.17.2
England/NORW-319AB69/2022,BA.1.17.2,0.36,0.59,Omicron (BA.1-like),0.68,0.0,scorpio call: Alt alleles 40; Ref alleles 0; Amb alleles 16; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.33,Alt assignments: B.1;B.1.1.263;BA.1.17;BA.1.17.2
England/NORW-319A527/2022,BA.1.14,0.87,0.47,Probable Omicron (BA.1-like),0.59,0.0,scorpio call: Alt alleles 35; Ref alleles 0; Amb alleles 23; Oth alleles 1,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.38,Alt assignments: AY.26;B.1;BA.1.1.1;BA.1.14
England/NORW-319A4C3/2022,BA.1.1,0.63,0.93,Omicron (BA.1-like),0.83,0.0,scorpio call: Alt alleles 49; Ref alleles 0; Amb alleles 7; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.08,
England/NORW-319CBE4/2022,BA.1.15,0.8,0.9,Omicron (BA.1-like),0.81,0.0,scorpio call: Alt alleles 48; Ref alleles 0; Amb alleles 9; Oth alleles 2,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.1,Alt assignments: BA.1;BA.1.14;BA.1.15
England/NORW-319BED5/2022,BA.1.1,0.29,0.98,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.04,
England/NORW-319B129/2022,AY.4.2,0.51,0.6,Delta (AY.4.2-like),0.71,0.0,scorpio call: Alt alleles 25; Ref alleles 0; Amb alleles 10; Oth alleles 0,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.28,Alt assignments: AY.113;AY.4.2
England/NORW-319AED7/2022,BA.1.20,0.9,0.74,Omicron (BA.1-like),0.73,0.0,scorpio call: Alt alleles 43; Ref alleles 0; Amb alleles 13; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.22,Alt assignments: B.1.575;BA.1.10;BA.1.17.2;BA.1.20
England/NORW-319C7E8/2022,BA.1.16,0.36,0.94,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.06,Alt assignments: BA.1;BA.1.16
England/NORW-319A9F8/2022,BA.1.15.1,0.3,0.93,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.08,Alt assignments: BA.1.15;BA.1.15.1
England/NORW-319B67A/2022,BA.1.1.1,0.54,0.25,Probable Omicron (BA.1-like),0.54,0.02,scorpio call: Alt alleles 32; Ref alleles 1; Amb alleles 24; Oth alleles 2,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.45,Alt assignments: BA.1.1;BA.1.1.1
England/NORW-319D323/2022,BA.1.17,0.0,0.97,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.04,
England/NORW-319B260/2022,BA.1.1,0.36,0.98,Omicron (BA.1-like),0.85,0.02,scorpio call: Alt alleles 50; Ref alleles 1; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.04,
England/NORW-319C2DF/2022,BA.1.1.1,0.72,0.86,Omicron (BA.1-like),0.83,0.0,scorpio call: Alt alleles 49; Ref alleles 0; Amb alleles 8; Oth alleles 2,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.13,Alt assignments: BA.1.1;BA.1.1.1
England/NORW-319C3A4/2022,BA.1.17.2,0.39,0.13,Probable Omicron (BA.1-like),0.59,0.0,scorpio call: Alt alleles 35; Ref alleles 0; Amb alleles 21; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.49,Alt assignments: BA.1.1.1;BA.1.17;BA.1.17.2
England/NORW-319C487/2022,BA.1.17.2,0.5,0.38,Probable Omicron (BA.1-like),0.64,0.0,scorpio call: Alt alleles 38; Ref alleles 0; Amb alleles 19; Oth alleles 2,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.39,Alt assignments: BA.1.1.10;BA.1.12;BA.1.13;BA.1.14;BA.1.17.2
England/NORW-319A5B4/2022,BA.1.16,0.36,0.98,Omicron (BA.1-like),0.86,0.0,scorpio call: Alt alleles 51; Ref alleles 0; Amb alleles 5; Oth alleles 3,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.04,Alt assignments: BA.1;BA.1.16
England/NORW-319B343/2022,BA.1.15.1,0.46,0.18,Probable Omicron (BA.1-like),0.56,0.0,scorpio call: Alt alleles 33; Ref alleles 0; Amb alleles 24; Oth alleles 2,PLEARN-v1.6,4.0.6,0.3.17,v0.1.8,False,pass,Ambiguous_content:0.47,Alt assignments: B.1.1;BA.1.15;BA.1.15.1
